,Unnamed: 0,Last Review Date,Packaged As:,Variety/Description,Unnamed: 4,Lot #,Inventory Units,Storage Vessel,Vintage,AVA,ALC,Chem. Analysis Avail?,Current Inventory,Pending  Order Qty,Other,Promised Quantity,Available Inventory,Winemaker Comments
0,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,
2,1.0,170801.0,Chesterfield,Chardonnay,White,CWC1234,Cases,Bottles,2013.0,California,>14,N,504.0,,,0.0,504.0,
3,2.0,170801.0,Bulk,Mourvedre,Red,CWC1235,Gallons,Barrels,2013.0,Lodi,<14,N,944.0,,117.0,117.0,827.0,
4,3.0,170801.0,Bulk,Malbec,Red,CWC1236,Gallons,Barrels,2015.0,Lodi,,Y,400.0,,,0.0,400.0,
5,4.0,170801.0,Bulk,Petite Sirah,Red,CWC1237,Gallons,Barrels,2015.0,Lodi,,N,1652.0,,,0.0,1652.0,
6,5.0,170801.0,Bulk,Petit Verdot,Red,CWC1238,Gallons,SS Tank,2015.0,Lodi,<14,Y,1947.0,,,0.0,1947.0,
7,6.0,170801.0,Bulk,Petit Verdot Reserve,Red,CWC1239,Gallons,SS Tank,2015.0,Lodi,<14,N,0.0,,,0.0,0.0,
8,7.0,170801.0,Bulk,Pinot Noir,Red,CWC1240,Gallons,275 Tote,2015.0,Clarksburg,<14,Y,236.0,,236.0,236.0,0.0,
9,8.0,170801.0,Bulk,Pinot Noir,Red,CWC1241,Gallons,330 Tote,2016.0,Clarksburg,<14,N,,,,0.0,0.0,
10,9.0,170801.0,Bulk,Pinot Noir,Red,CWC1242,Gallons,240 Oenotank,2016.0,Lodi,<14,Y,413.0,,,0.0,413.0,
11,10.0,170801.0,Bulk,Pinot Noir,Red,CWC1243,Gallons,Barrels,2016.0,CA,<14,N,1003.0,,,0.0,1003.0,
12,11.0,170801.0,Bulk,Cab Franc,Red,CWC1244,Gallons,Barrels,2016.0,Lodi,,Y,0.0,,,0.0,0.0,
13,12.0,170801.0,Bulk,Cab Franc Reserve,Red,CWC1245,Gallons,Barrels,2016.0,Lodi,,N,0.0,,,0.0,0.0,
14,13.0,170801.0,Bulk,Cab Sauv Rose,Red,CWC1246,Gallons,Barrels,2016.0,Lodi,<14,Y,2000.0,,,0.0,2000.0,
15,14.0,170801.0,Bulk,Cabernet Sauvignon Reserve,Red,CWC1247,Gallons,Barrels,2016.0,Lodi,,Y,2200.0,,,0.0,2200.0,
16,15.0,170801.0,Bulk,Chardonnay,White,CWC1248,Gallons,Barrels,2016.0,Lodi,>14,N,2200.0,,,0.0,2200.0,
17,16.0,170801.0,Bulk,Chardonnay Reserve,White,CWC1249,Gallons,Barrels,2016.0,Lodi,>14,Y,660.0,,,0.0,660.0,
